2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-03-22
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 4 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 4 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-05-08
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 3 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 3 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-10-02
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 1 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 1 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-10-14
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 6 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 6 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=2, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=2, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-10-23
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 4 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 4 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2025-01-03
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 1 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 1 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-12-16
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 7 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 7 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-04-24
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 8 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 8 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-09-13
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 8 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 8 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-12-26
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 6 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 6 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2025-01-28
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 5 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 5 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-09-10
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 2 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 2 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-11-30
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 5 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 5 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=1, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-11-06
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 8 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 8 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=2, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=2, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2025-01-14
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 4 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 4 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=4, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-11-11
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 4 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 4 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-09-18
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 3 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 3 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2024-05-05
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 1 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 1 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=3, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Генерация случайной даты за последний год
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Сгенерирована дата: 2025-02-20
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Чек создан. Бонус: 0, Углеродный след: 0.0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало генерации случайного чека
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбор 2 случайных товаров из списка
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Выбрано 2 товаров
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Начало расчета бонусов для чека Receipt(id=null, carbonFootprint=null, bonus=null, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=2, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет бонусов завершен. Итоговая сумма: 0
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Расчет углеродного следа для чека Receipt(id=null, carbonFootprint=null, bonus=0, date=null, user=null, items=[PurchaseItem(id=null, name=null, category=null, bonus=null, carbonFootprint=null, isEcoFriendly=null, quantity=2, recommendation=null, receipts=null)])
2025-03-20 16:07:28 [main] INFO  o.e.d.service.ReceiptService - Углеродный след рассчитан: 0.0
